S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
R0001100001011101011 | 1 | 695753/640000
R00011000010111010111 | 2 | 39/160
R00011000010111011 | 5 | 3/8
R000110000101110110 | 0 | 382361/960000
R0001100001011101100 | 1 | 695753/640000
R00011000010111011001 | 2 | 39/160
R000110000101110111 | 0 | 382361/960000
R0001100001011101110 | 1 | 695753/640000
R00011000010111011101 | 2 | 39/160
R0001100001011101111 | 1 | 695753/640000
R00011000010111011110 | 2 | 39/160
R000110000101110111100 | 3 | 15/16
R00011000010111011111 | 2 | 39/160
R000110000101110111111 | 3 | 15/16
R0001100001011101111111 | 4 | 11/80
R00011000010111011111111 | 5 | 7/16
R000110000101110111111111 | 0 | 2535407/5760000
R000110000101111 | 3 | 7/8
R00011000011 | 5 | 1/4
R000110000110 | 0 | 452921/1440000
R0001100001100 | 1 | 3283863/4160000
R00011000011001 | 2 | 61/240
R000110000110010 | 3 | 7/8
R0001100001101 | 1 | 3283863/4160000
R00011000011011 | 2 | 61/240
R000110000111 | 0 | 452921/1440000
R0001100001110 | 1 | 3283863/4160000
R00011000011101 | 2 | 61/240
R000110000111010 | 3 | 7/8
R0001100001110101 | 4 | 7/40
R00011000011101010 | 5 | 3/8
R000110000111010100 | 0 | 664601/2880000
R0001100001110101001 | 1 | 695753/640000
R000110000111010101 | 0 | 664601/2880000
R0001100001110101011 | 1 | 695753/640000
R0001100001111 | 1 | 3283863/4160000
R00011000011111 | 2 | 61/240
R000110000111110 | 3 | 7/8
R0001100001111100 | 4 | 7/40
R00011000011111000 | 5 | 3/8
R000110000111110000 | 0 | 382361/960000
R0001100001111100000 | 1 | 695753/640000
R00011000011111000001 | 2 | 39/160
R000110000111110001 | 0 | 382361/960000
R0001100001111100010 | 1 | 695753/640000
R00011000011111000101 | 2 | 39/160
R0001100001111100011 | 1 | 695753/640000
