S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
  2017/10000 | 3 | 42618606817/163840000000 | 27mass | 811760639657/819200000000
R000110111111000100 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 11/40 | 71/240 | 7/8 | 1 | 3/20 | 7/40 | 1/4 | 3/8 |
  2017/10000 | 7 |
  524704744429158572591435418885482664388163696914163062002580670942753758561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 | 29 |
  976852427/1000000000
R0001101111110001010 | 347081/720000 | 325913/576000 | 2880463/2080000 |
  8237989/4160000 | 11/40 | 71/240 | 7/8 | 1 | 3/20 | 7/40 | 3/8 | 1/2 |
  2017/10000 | 7 |
  524704744429158572591435418885482664388163696914163062002580670942753758561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 | 29 |
  496449103/500000000
R0001101111110001011 | 325913/576000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 11/40 | 71/240 | 7/8 | 1 | 3/20 | 7/40 | 3/8 | 1/2 |
  30458011/144000000 | 7 |
  18695166685380639352138063101978599933245089774502708123853648691462580549597820
  662301373361/6038831752085842454634624000000000000000000000000000000000000000000
  0000000000000000000000000 | 29 | 971037143/1000000000
R000110111111000110 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 11/40 | 71/240 | 7/8 | 1 | 7/40 | 1/5 | 1/4 | 3/8 | 2017/10000
  | 7 | 42618606817/163840000000 | 29 | 477796567/500000000
R000110111111000111 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 11/40 | 71/240 | 7/8 | 1 | 7/40 | 1/5 | 3/8 | 1/2 | 2017/10000
  | 7 | 42618606817/163840000000 | 27mass | 4079034501453/4096000000000
R0001101111110010 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 71/240 | 19/60 | 3/4 | 7/8 | 3/20 | 1/5 | 1/4 | 1/2 |
  2017/10000 | 3 | 410339953/1280000000 | 29 | 3978033/4000000
R0001101111110011 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 71/240 | 19/60 | 7/8 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | 2017/10000
  | 7 | 410339953/1280000000 | 29 | 998113551/1000000000
R0001101111110100 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 11/40 | 71/240 | 3/4 | 7/8 | 3/20 | 1/5 | 1/4 | 1/2 |
  2017/10000 | 3 | 410339953/1280000000 | 29 | 989590249/1000000000
R000110111111010100 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 11/40 | 71/240 | 7/8 | 1 | 3/20 | 7/40 | 1/4 | 3/8 |
  2017/10000 | 7 |
  524704744429158572591435418885482664388163696914163062002580670942753758561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 | 29 |
  489351457/500000000
R000110111111010101 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 11/40 | 71/240 | 7/8 | 1 | 3/20 | 7/40 | 3/8 | 1/2 |
  2017/10000 | 7 |
  524704744429158572591435418885482664388163696914163062002580670942753758561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 | 29 |
  99883593/100000000
R000110111111010110 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 11/40 | 71/240 | 7/8 | 1 | 7/40 | 1/5 | 1/4 | 3/8 | 2017/10000
  | 7 | 42618606817/163840000000 | 29 | 238896329/250000000
R000110111111010111 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 11/40 | 71/240 | 7/8 | 1 | 7/40 | 1/5 | 3/8 | 1/2 | 2017/10000
  | 7 | 42618606817/163840000000 | 27mass | 162515179861/163840000000
R0001101111110110 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 71/240 | 19/60 | 3/4 | 7/8 | 3/20 | 1/5 | 1/4 | 1/2 |
  2017/10000 | 3 | 410339953/1280000000 | 29 | 247331703/250000000
R00011011111101110 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 71/240 | 19/60 | 7/8 | 1 | 3/20 | 7/40 | 1/4 | 1/2 |
  2017/10000 | 7 |
  31402570981528868958397088287559178510536846850925904419879315072921/98559418710
  801997010051422876131255179643630981445312500000000000000 | 29 |
  988053101/1000000000
R00011011111101111 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 71/240 | 19/60 | 7/8 | 1 | 7/40 | 1/5 | 1/4 | 1/2 | 2017/10000
  | 7 | 42618606817/163840000000 | 29 | 494329277/500000000
R0001101111111 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 11/40 | 19/60 | 3/4 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | 5357783/24000000 | 3 |
  410339953/1280000000 | 29 | 984382641/1000000000
R00011100000000 | 147/1000 | 452921/1440000 | 2017/10400 | 3283863/4160000 | 7/30
  | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 1/2 | 3/4 | 2017/10000 | 2 |
  4782979/10000000 | 29 | 185115119/200000000
R00011100000001 | 147/1000 | 452921/1440000 | 3283863/4160000 | 2880463/2080000 |
  7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 1/2 | 3/4 | 2017/10000 | 2 |
  4782979/10000000 | 29 | 979378183/1000000000
R00011100000010 | 452921/1440000 | 347081/720000 | 2017/10400 | 3283863/4160000 |
  7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 1/2 | 3/4 | 2017/10000 | 2 |
  4782979/10000000 | 29 | 38473827/40000000
R00011100000011 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 1/2 | 3/4 |
  2017/10000 | 2 | 4782979/10000000 | 29 | 992998399/1000000000
R000111000001 | 147/1000 | 347081/720000 | 2017/10400 | 2880463/2080000 | 7/30 |
  11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 3/4 | 1 | 2017/10000 | 2 | 4782979/10000000 |
  29 | 179146139/200000000
R0001110000100 | 147/1000 | 452921/1440000 | 2017/10400 | 2880463/2080000 | 7/30 |
  11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 2 |
  410339953/1280000000 | 27mass | 1091913762751/1093500000000
R00011100001010 | 452921/1440000 | 347081/720000 | 2017/10400 | 3283863/4160000 |
  7/30 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 2 |
  410339953/1280000000 | 27mass | 419453317639/437400000000
R000111000010110 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 1/2 | 3/4 | 3/20 | 1/5 | 1/2 | 3/4 |
  2017/10000 | 2 | 410339953/1280000000 | 27mass | 2181824200697/2187000000000
R000111000010111 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 61/240 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 1/2 | 3/4 |
  2017/10000 | 2 | 410339953/1280000000 | 27mass |
  1118133954021269603/1146617856000000000
R000111000011 | 147/1000 | 347081/720000 | 2017/10400 | 2880463/2080000 | 7/30 |
  11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 3/4 | 1 | 2017/10000 | 2 | 410339953/1280000000
  | 27mass | 975065016517/1093500000000
R00011100010000 | 147/1000 | 452921/1440000 | 2017/10400 | 3283863/4160000 | 7/30
  | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | 2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  116067611/125000000
R00011100010001 | 147/1000 | 452921/1440000 | 3283863/4160000 | 2880463/2080000 |
  7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | 2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  997683857/1000000000
R00011100010010 | 452921/1440000 | 347081/720000 | 2017/10400 | 3283863/4160000 |
  7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | 2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  962805277/1000000000
R00011100010011000 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 1/10 | 1/8 | 1/2 | 3/4 |
  2017/10000 | 3 |
  1472169587759965014512400098637899907745556534170335537395232151147921/332901144
  5015348726883530616760253906250000000000000000000000000000000 | 29 |
  15320807/15625000
R0001110001001100100 | 452921/1440000 | 382361/960000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 1/8 | 3/20 | 1/2 | 5/8 |
  2017/10000 | 3 |
  65725449737151035671594898912660803542481397059406748780403742503/17204925883973
  4875436988659203052520751953125000000000000000000000 | 29 | 492901233/500000000
R0001110001001100101 | 382361/960000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 1/8 | 3/20 | 1/2 | 5/8 |
  2017/10000 | 3 |
  65725449737151035671594898912660803542481397059406748780403742503/17204925883973
  4875436988659203052520751953125000000000000000000000 | 29 | 495539151/500000000
R000111000100110011 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 1/8 | 3/20 | 5/8 | 3/4 |
  2017/10000 | 3 |
  65725449737151035671594898912660803542481397059406748780403742503/17204925883973
  4875436988659203052520751953125000000000000000000000 | 29 | 37085757/40000000
R00011100010011010 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 1/10 | 1/8 | 1/2 | 3/4 | 2017/10000
  | 7 |
  816756947640240706525034417881545632659680586077445983577535694187011358561/2200
  573850833917260169982910156250000000000000000000000000000000000000000000 | 29 |
  494263877/500000000
R0001110001001101100 | 452921/1440000 | 382361/960000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 1/8 | 3/20 | 1/2 | 5/8 | 2017/10000
  | 7 |
  673672765956098927142310828173504802963070228876966728964124334132956433561/1911
  453185360483985277824103832244873046875000000000000000000000000000000000 | 29 |
  12461433/12500000
R00011100010011011010 | 382361/960000 | 347081/720000 | 3283863/4160000 |
  695753/640000 | 7/30 | 61/240 | 7/8 | 1 | 1/8 | 3/20 | 1/2 | 5/8 | 2017/10000 |
  7 |
  673672765956098927142310828173504802963070228876966728964124334132956433561/1911
  453185360483985277824103832244873046875000000000000000000000000000000000 | 29 |
  124028961/125000000
R00011100010011011011 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 1/8 | 3/20 | 1/2 | 5/8 | 2017/10000
  | 7 |
  673672765956098927142310828173504802963070228876966728964124334132956433561/1911
  453185360483985277824103832244873046875000000000000000000000000000000000 | 29 |
  31212997/31250000
R000111000100110111 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 1/8 | 3/20 | 5/8 | 3/4 | 2017/10000
  | 7 |
  673672765956098927142310828173504802963070228876966728964124334132956433561/1911
  453185360483985277824103832244873046875000000000000000000000000000000000 | 29 |
  235235693/250000000
R000111000100111 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 61/240 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 |
  2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  978823291/1000000000
R000111000101 | 147/1000 | 347081/720000 | 2017/10400 | 2880463/2080000 | 7/30 |
  11/40 | 3/4 | 1 | 1/10 | 3/20 | 3/4 | 1 | 2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 | 7272137/8000000
R00011100011000 | 147/1000 | 452921/1440000 | 2017/10400 | 3283863/4160000 | 7/30
  | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 3 |
  410339953/1280000000 | 27mass | 2037208160849/2187000000000
R000111000110010 | 147/1000 | 452921/1440000 | 3283863/4160000 | 2880463/2080000 |
  7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 3 |
  410339953/1280000000 | 27mass | 1086064753723/1093500000000
R000111000110011 | 147/1000 | 452921/1440000 | 3283863/4160000 | 2880463/2080000 |
  61/240 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 3 |
  410339953/1280000000 | 27mass | 1115569789709164643/1146617856000000000
R00011100011010 | 452921/1440000 | 347081/720000 | 2017/10400 | 3283863/4160000 |
  7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 3 |
  410339953/1280000000 | 27mass | 528037330553/546750000000
R0001110001101100000 | 452921/1440000 | 382361/960000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 3/20 | 7/40 | 1/2 | 5/8 |
  2017/10000 | 3 |
  800227202780771218665085568409309842787422556231827547237639796222921/2501481927
  766112676181364804506301879882812500000000000000000000000000 | 27mass |
  1081961653039/1093500000000
R0001110001101100001 | 382361/960000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 3/20 | 7/40 | 1/2 | 5/8 |
  2017/10000 | 3 |
  800227202780771218665085568409309842787422556231827547237639796222921/2501481927
  766112676181364804506301879882812500000000000000000000000000 | 27mass |
  2175512597429/2187000000000
R000111000110110001 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 3/20 | 7/40 | 5/8 | 3/4 |
  2017/10000 | 3 |
  800227202780771218665085568409309842787422556231827547237639796222921/2501481927
  766112676181364804506301879882812500000000000000000000000000 | 27mass |
  1017951999037/1093500000000
R0001110001101100100 | 452921/1440000 | 382361/960000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 7/40 | 1/5 | 1/2 | 5/8 |
  2017/10000 | 3 | 42618606817/163840000000 | 27mass | 2155307302463/2187000000000
R0001110001101100101 | 382361/960000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 7/40 | 1/5 | 1/2 | 5/8 |
  2017/10000 | 3 | 42618606817/163840000000 | 27mass | 542053306169/546750000000
R000111000110110011 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 7/40 | 1/5 | 5/8 | 3/4 |
  2017/10000 | 3 | 42618606817/163840000000 | 27mass | 1016617780321/1093500000000
R00011100011011010000 | 452921/1440000 | 382361/960000 | 3283863/4160000 |
  695753/640000 | 7/30 | 61/240 | 7/8 | 1 | 3/20 | 7/40 | 1/2 | 5/8 | 2017/10000 |
  7 |
  518829855322817717838343378628972557005235824090421746548554685260776508561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 |
  27mass | 2150086671023/2187000000000
R00011100011011010001 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 3/20 | 7/40 | 1/2 | 5/8 | 2017/10000
  | 7 |
  518829855322817717838343378628972557005235824090421746548554685260776508561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 |
  27mass | 1089408326803/1093500000000
R00011100011011010010 | 382361/960000 | 347081/720000 | 3283863/4160000 |
  695753/640000 | 7/30 | 61/240 | 7/8 | 1 | 3/20 | 7/40 | 1/2 | 5/8 | 2017/10000 |
  7 |
  518829855322817717838343378628972557005235824090421746548554685260776508561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 |
  27mass | 2177959268687/2187000000000
R000111000110110100111 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 39/160 | 61/240 | 7/8 | 1 | 3/20 | 7/40 | 1/2 | 5/8 |
  2017/10000 | 7 |
  518829855322817717838343378628972557005235824090421746548554685260776508561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 |
  27mass | 13274285932795053/13421772800000000
R000111000110110101 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 3/20 | 7/40 | 5/8 | 3/4 | 2017/10000
  | 7 |
  518829855322817717838343378628972557005235824090421746548554685260776508561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 |
  27mass | 516089701439/546750000000
R00011100011011011000 | 452921/1440000 | 382361/960000 | 3283863/4160000 |
  695753/640000 | 7/30 | 61/240 | 7/8 | 1 | 7/40 | 1/5 | 1/2 | 5/8 | 2017/10000 |
  7 | 42618606817/163840000000 | 27mass | 430303011517/437400000000
R00011100011011011001 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 7/40 | 1/5 | 1/2 | 5/8 | 2017/10000
  | 7 | 42618606817/163840000000 | 27mass | 2176246388417/2187000000000
R00011100011011011010 | 382361/960000 | 347081/720000 | 3283863/4160000 |
  695753/640000 | 7/30 | 61/240 | 7/8 | 1 | 7/40 | 1/5 | 1/2 | 5/8 | 2017/10000 |
  7 | 42618606817/163840000000 | 27mass | 2176939518701/2187000000000
R000111000110110110111 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 39/160 | 61/240 | 7/8 | 1 | 7/40 | 1/5 | 1/2 | 5/8 |
  2017/10000 | 7 | 42618606817/163840000000 | 27mass |
  66233227280066401/67108864000000000
R000111000110110111 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 7/40 | 1/5 | 5/8 | 3/4 | 2017/10000
  | 7 | 42618606817/163840000000 | 27mass | 257960595451/273375000000
R000111000110111 | 452921/1440000 | 347081/720000 | 3283863/4160000 |
  2880463/2080000 | 61/240 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000
  | 3 | 410339953/1280000000 | 27mass | 227939743877059399/229323571200000000
R000111000111 | 147/1000 | 347081/720000 | 2017/10400 | 2880463/2080000 | 7/30 |
  11/40 | 3/4 | 1 | 3/20 | 1/5 | 3/4 | 1 | 2017/10000 | 3 | 410339953/1280000000 |
  27mass | 398908119133/437400000000
R0001110010 | 147/1000 | 347081/720000 | 2017/10400 | 2880463/2080000 | 11/40 |
  19/60 | 1/2 | 3/4 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 | 4782979/10000000 |
  27mass | 4056486394189/4096000000000
R0001110011 | 147/1000 | 347081/720000 | 2017/10400 | 2880463/2080000 | 11/40 |
  19/60 | 3/4 | 1 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 3 | 4782979/10000000 |
  27mass | 811405205161/819200000000
R0001110100 | 147/1000 | 347081/720000 | 2880463/2080000 | 2678763/1040000 | 7/30
  | 11/40 | 1/2 | 3/4 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 | 4782979/10000000 |
  29 | 492394963/500000000
R000111010100001 | 147/1000 | 452921/1440000 | 2880463/2080000 | 8237989/4160000 |
  61/240 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | 2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  97285349/100000000
R000111010100101 | 452921/1440000 | 347081/720000 | 2880463/2080000 |
  8237989/4160000 | 61/240 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 |
  2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  982455429/1000000000
R000111010101 | 147/1000 | 347081/720000 | 2880463/2080000 | 2678763/1040000 |
  7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 3/4 | 1 | 2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  223646351/250000000
R000111010110001 | 147/1000 | 452921/1440000 | 2880463/2080000 | 8237989/4160000 |
  61/240 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 3 |
  410339953/1280000000 | 27mass | 1132918827626897507/1146617856000000000
R000111010110101 | 452921/1440000 | 347081/720000 | 2880463/2080000 |
  8237989/4160000 | 61/240 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000
  | 3 | 410339953/1280000000 | 27mass | 1143933779955261539/1146617856000000000
R000111010111 | 147/1000 | 347081/720000 | 2880463/2080000 | 2678763/1040000 |
  7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 3/4 | 1 | 2017/10000 | 3 |
  410339953/1280000000 | 29 | 90398431/100000000
R0001110110 | 147/1000 | 347081/720000 | 2880463/2080000 | 2678763/1040000 | 11/40
  | 19/60 | 1/2 | 3/4 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 | 4782979/10000000 |
  29 | 61281837/62500000
R00011101110 | 147/1000 | 347081/720000 | 2880463/2080000 | 2678763/1040000 |
  11/40 | 19/60 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 1 | 2017/10000 | 3 |
  6496004202297726153870432260632865020847963140834335189234297872981375041/136356
  30878782868385314941406250000000000000000000000000000000000000000000 | 29 |
  493633643/500000000
R0001110111100 | 147/1000 | 452921/1440000 | 2880463/2080000 | 2678763/1040000 |
  11/40 | 19/60 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 3 |
  410339953/1280000000 | 27mass | 3984453818701/4096000000000
R0001110111101 | 452921/1440000 | 347081/720000 | 2880463/2080000 |
  2678763/1040000 | 11/40 | 19/60 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000
  | 3 | 410339953/1280000000 | 27mass | 804746071721/819200000000
R000111011111 | 147/1000 | 347081/720000 | 2880463/2080000 | 2678763/1040000 |
  11/40 | 19/60 | 3/4 | 1 | 3/20 | 1/5 | 3/4 | 1 | 2017/10000 | 3 |
  410339953/1280000000 | 27mass | 705446694569/819200000000
R00011110000000 | 347081/720000 | 311801/480000 | 2017/10400 | 3283863/4160000 |
  7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 1/2 | 3/4 | 2017/10000 | 2 |
  4782979/10000000 | 29 | 981230523/1000000000
R00011110000001 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 1/2 | 3/4 |
  2017/10000 | 2 | 4782979/10000000 | 29 | 49238779/50000000
R0001111000001 | 311801/480000 | 294161/360000 | 2017/10400 | 2880463/2080000 |
  7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 1/2 | 3/4 | 5357783/24000000 | 2 |
  50895738161784537343181170120775780233965164151676274545675282369692742723418205
  48481/10673396287786604160000000000000000000000000000000000000000000000000000000
  000000000000 | 29 | 189852207/200000000
R000111100001 | 347081/720000 | 294161/360000 | 2017/10400 | 2880463/2080000 |
  7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 3/4 | 1 | 2017/10000 | 2 |
  4782979/10000000 | 29 | 450563589/500000000
R00011110001000 | 347081/720000 | 311801/480000 | 2017/10400 | 3283863/4160000 |
  7/30 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 2 |
  410339953/1280000000 | 27mass | 1069845113167/1093500000000
R00011110001001 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000
  | 2 | 410339953/1280000000 | 27mass | 544322668589/546750000000
R0001111000101 | 311801/480000 | 294161/360000 | 2017/10400 | 2880463/2080000 |
  7/30 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 1/2 | 3/4 | 5357783/24000000 | 2 |
  410339953/1280000000 | 27mass | 2087965434659/2187000000000
R000111100011 | 347081/720000 | 294161/360000 | 2017/10400 | 2880463/2080000 |
  7/30 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 3/4 | 1 | 2017/10000 | 2 |
  410339953/1280000000 | 27mass | 985337053711/1093500000000
R00011110010000 | 347081/720000 | 311801/480000 | 2017/10400 | 3283863/4160000 |
  7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | 2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  60892493/62500000
R00011110010001000 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 1/10 | 1/8 | 1/2 | 3/4 |
  2017/10000 | 3 |
  1472169587759965014512400098637899907745556534170335537395232151147921/332901144
  5015348726883530616760253906250000000000000000000000000000000 | 29 |
  978957591/1000000000
R000111100100010010 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 1/8 | 3/20 | 1/2 | 5/8 |
  2017/10000 | 3 |
  65725449737151035671594898912660803542481397059406748780403742503/17204925883973
  4875436988659203052520751953125000000000000000000000 | 29 | 39942627/40000000
R000111100100010011 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 1/8 | 3/20 | 5/8 | 3/4 |
  2017/10000 | 3 |
  65725449737151035671594898912660803542481397059406748780403742503/17204925883973
  4875436988659203052520751953125000000000000000000000 | 29 | 929840151/1000000000
R00011110010001010 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 1/10 | 1/8 | 1/2 | 3/4 | 2017/10000
  | 7 |
  816756947640240706525034417881545632659680586077445983577535694187011358561/2200
  573850833917260169982910156250000000000000000000000000000000000000000000 | 29 |
  989696401/1000000000
R00011110010001011000 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  695753/640000 | 7/30 | 61/240 | 7/8 | 1 | 1/8 | 3/20 | 1/2 | 5/8 | 2017/10000 |
  7 |
  673672765956098927142310828173504802963070228876966728964124334132956433561/1911
  453185360483985277824103832244873046875000000000000000000000000000000000 | 29 |
  31127989/31250000
R00011110010001011001 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 1/8 | 3/20 | 1/2 | 5/8 | 2017/10000
  | 7 |
  673672765956098927142310828173504802963070228876966728964124334132956433561/1911
  453185360483985277824103832244873046875000000000000000000000000000000000 | 29 |
  498864933/500000000
