Exact cubic-plus-plane whole-source convex certificate. Every number is rational; all feasible vertices are included.

| bin | b lower | b upper | initial gamma | A_C | normalized capacity upper | pieces |
|---|---|---|---|---|---|---|
|2|749/1250|3021/5000|8069307/20000000|17832173/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|2|3021/5000|1523/2500|17832173/50000000|31302731/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|2|1523/2500|3071/5000|31302731/100000000|13612747/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|2|3071/5000|387/625|13612747/50000000|23432633/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|2|387/625|17986500000/29008021321|23432633/100000000|22814231/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|2|17986500000/29008021321|33275025000/53340451967|22814231/100000000|335193/1562500|[3, 3, (3, 4)]|[4, 3, (3, 4)]|22|
|2|33275025000/53340451967|3121/5000|335193/1562500|10689277/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|16|
|2|3121/5000|1573/2500|10689277/50000000|20974613/100000000|[4, 3, (3, 4)]|[4, 0, (3, 4)]|16|
|2|1573/2500|3171/5000|20974613/100000000|2613117/12500000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|16|
|2|3171/5000|799/1250|2613117/12500000|2614221/12500000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|16|
|2|799/1250|61154100000/95651894567|2614221/12500000|20915147/100000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|16|
|2|61154100000/95651894567|3221/5000|20915147/100000000|4827487/25000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|2|3221/5000|1623/2500|4827487/25000000|3545933/20000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|2|1623/2500|3271/5000|3545933/20000000|8110807/50000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|2|3271/5000|32375700000/49185277021|8110807/50000000|3808131/25000000|[4, 2, (3, 4)]|[4, 3, (3, 4)]|12|
|2|32375700000/49185277021|412/625|3808131/25000000|15074201/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|412/625|3321/5000|15074201/100000000|713163/5000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|3321/5000|1673/2500|713163/5000000|13474739/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|1673/2500|3371/5000|13474739/100000000|6354319/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|3371/5000|849/1250|6354319/50000000|5982479/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|849/1250|3421/5000|5982479/50000000|11243697/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|3421/5000|1723/2500|11243697/100000000|10544857/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|1723/2500|3471/5000|10544857/100000000|9868437/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|3471/5000|437/625|9868437/100000000|9214437/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|437/625|3521/5000|9214437/100000000|4291429/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|2|3521/5000|45865575000/65074844567|4291429/50000000|8507009/100000000|[4, 3, (3, 4)]|[4, 3, (2, 3)]|6|
|2|45865575000/65074844567|1773/2500|0|0|None|None|0|
|2|1773/2500|3571/5000|0|0|None|None|0|
|2|3571/5000|899/1250|0|0|None|None|0|
|2|899/1250|18/25|0|0|None|None|0|
|3|5817/10000|5867/10000|20647377/50000000|20985549/50000000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|3|5867/10000|5917/10000|20985549/50000000|21329099/50000000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|3|5917/10000|5967/10000|21329099/50000000|43356053/100000000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|3|5967/10000|6017/10000|43356053/100000000|5508083/12500000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|3|6017/10000|87684187500/145680644567|5508083/12500000|44092259/100000000|[3, 3, (1, 4)]|[3, 3, (1, 3)]|32|
|3|87684187500/145680644567|6067/10000|44092259/100000000|20052423/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|3|6067/10000|6117/10000|20052423/50000000|36240397/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|3|6117/10000|6167/10000|36240397/100000000|8142921/25000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|3|6167/10000|6217/10000|8142921/25000000|7274677/25000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|3|6217/10000|6267/10000|7274677/25000000|25821469/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|3|6267/10000|6317/10000|25821469/100000000|4547993/20000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|3|6317/10000|82737900000/130832675959|4547993/20000000|22327267/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|3|82737900000/130832675959|6367/10000|22327267/100000000|21080127/100000000|[3, 3, (3, 4)]|[4, 0, (3, 4)]|22|
|3|6367/10000|37321987500/58402951967|21080127/100000000|21076371/100000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|22|
|3|37321987500/58402951967|6417/10000|21076371/100000000|5273043/25000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|16|
|3|6417/10000|66550050000/103412369567|5273043/25000000|21115617/100000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|16|
|3|66550050000/103412369567|6467/10000|21115617/100000000|9997491/50000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|3|6467/10000|6517/10000|9997491/50000000|18285983/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|3|6517/10000|6567/10000|18285983/100000000|4163993/25000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|3|6567/10000|6617/10000|4163993/25000000|3776237/25000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|3|6617/10000|34399181250/51716527021|3776237/25000000|14201809/100000000|[4, 2, (3, 4)]|[4, 3, (3, 4)]|12|
|3|34399181250/51716527021|6667/10000|14201809/100000000|2789693/20000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|3|6667/10000|6717/10000|2789693/20000000|410857/3125000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|3|6717/10000|6767/10000|410857/3125000|12370069/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|3|6767/10000|6817/10000|12370069/100000000|29041/250000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|3|6817/10000|6867/10000|29041/250000|5443209/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|3|6867/10000|6917/10000|5443209/50000000|10180123/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|3|6917/10000|6967/10000|10180123/100000000|4748757/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|3|6967/10000|7017/10000|4748757/50000000|138103/1562500|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|3|7017/10000|7067/10000|138103/1562500|2050839/25000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|3|7067/10000|49912537500/70137344567|2050839/25000000|7599009/100000000|[4, 3, (3, 4)]|[4, 3, (2, 3)]|6|
|3|49912537500/70137344567|7117/10000|0|0|None|None|0|
|3|7117/10000|7167/10000|0|0|None|None|0|
|3|7167/10000|18/25|0|0|None|None|0|
|4|368/625|2969/5000|8128401/20000000|20641387/50000000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|4|2969/5000|1497/2500|20641387/50000000|8385711/20000000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|4|1497/2500|3019/5000|8385711/20000000|10644837/25000000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|4|3019/5000|91731150000/150743144567|10644837/25000000|8639829/20000000|[3, 3, (1, 4)]|[3, 3, (1, 3)]|32|
|4|91731150000/150743144567|761/1250|8639829/20000000|42995373/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
