Exact whole-source convex certificate. Every number is rational; maxima include all feasible vertices.

| bin | b lower | b upper | initial gamma | normalized capacity upper | pieces |
|---|---|---|---|---|---|
|2|5867/10000|5917/10000|8244207/20000000|41926621/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|2|5917/10000|5967/10000|41926621/100000000|42638193/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|2|5967/10000|12140887500/20208842081|42638193/100000000|43221987/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|2|12140887500/20208842081|6017/10000|43221987/100000000|42700501/100000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|2|6017/10000|40469625000/66808596299|42700501/100000000|40770981/100000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|2|40469625000/66808596299|6067/10000|40770981/100000000|4969331/12500000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|2|6067/10000|6117/10000|4969331/12500000|17302751/50000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|2|6117/10000|6167/10000|17302751/50000000|14918997/50000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|2|6167/10000|6217/10000|14918997/50000000|12726063/50000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|2|6217/10000|6267/10000|12726063/50000000|2680987/12500000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|2|6267/10000|6317/10000|2680987/12500000|727029/4000000|[3, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|2|6317/10000|6367/10000|727029/4000000|2122309/12500000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|2|6367/10000|4946287500/7740600281|2122309/12500000|16441449/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|2|4946287500/7740600281|6417/10000|16441449/100000000|7912979/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|2|6417/10000|6467/10000|7912979/50000000|14718183/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|2|6467/10000|6517/10000|14718183/100000000|6827573/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|2|6517/10000|6567/10000|6827573/50000000|789803/6250000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|2|6567/10000|6617/10000|789803/6250000|11663289/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|2|6617/10000|4721456250/7086736003|11663289/100000000|10818327/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|2|4721456250/7086736003|6667/10000|10818327/100000000|2683617/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|6667/10000|6717/10000|2683617/25000000|4925193/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|6717/10000|6767/10000|4925193/50000000|9011037/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|6767/10000|6817/10000|9011037/100000000|2053079/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|6817/10000|6867/10000|2053079/25000000|1490131/20000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|6867/10000|6917/10000|1490131/20000000|3363027/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|6917/10000|6967/10000|3363027/50000000|6038513/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|6967/10000|7017/10000|6038513/100000000|21047/390625|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|7017/10000|7067/10000|21047/390625|4774611/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|7067/10000|7117/10000|4774611/100000000|4198251/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|2|7117/10000|6744937500/9416942081|4198251/100000000|3705383/100000000|[4, 1, (3, 4)]|[4, 1, (2, 3)]|3|
|2|6744937500/9416942081|7167/10000|0|0|None|None|0|
|2|7167/10000|18/25|0|0|None|None|0|
|3|5853/10000|5903/10000|19453767/50000000|39575119/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|3|5903/10000|5953/10000|39575119/100000000|20124191/50000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|3|5953/10000|6003/10000|20124191/50000000|10231831/25000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|3|6003/10000|6053/10000|10231831/25000000|5201493/12500000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|3|6053/10000|12815381250/21052592081|5201493/12500000|32879/78125|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|3|12815381250/21052592081|6103/10000|32879/78125|41523917/100000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|3|6103/10000|89033175000/145042783273|41523917/100000000|40482699/100000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|3|89033175000/145042783273|6153/10000|40482699/100000000|39109079/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|3|6153/10000|6203/10000|39109079/100000000|8647099/25000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
