FAMILY Q.hmin=37/200.
Grid0=131/900,1/2,1,2,4,8,16;grid1=37/208,1/2,1,2,4,8;grid2=1609/5400,1/2,1,2,4,8.
Splits: parent tag | coordinate | midpoint
1.3.4 | 2 | 3
1.4.4 | 1 | 3
1.4.40 | 2 | 3
2.3.4 | 2 | 3
2.3.40 | 1 | 3/2
2.3.400 | 2 | 5/2
2.3.401 | 2 | 5/2
2.4.4 | 1 | 3
2.4.40 | 2 | 3
2.4.400 | 1 | 5/2
2.4.4000 | 2 | 5/2
2.4.40001 | 0 | 3/4
2.4.4001 | 2 | 5/2
2.4.40011 | 0 | 3/4
2.4.401 | 1 | 5/2
2.4.4010 | 2 | 7/2
2.4.4011 | 2 | 7/2
2.4.40110 | 0 | 3/4
2.4.41 | 2 | 3
2.4.411 | 1 | 7/2
2.4.4110 | 2 | 7/2
2.4.41100 | 0 | 3/4
Rectangles: tag | l0 | u0 | l1 | u1 | l2 | u2 | h1 | h2 | total upper numerator
2.3.5 | 1/2 | 1 | 1 | 2 | 4 | 8 | 20099/100000 | 1609/5000 | 9935835320
2.4.1 | 1/2 | 1 | 2 | 4 | 1609/5400 | 1/2 | 20099/100000 | 1609/5000 | 3917064304
2.4.2 | 1/2 | 1 | 2 | 4 | 1/2 | 1 | 20099/100000 | 1609/5000 | 7085409637
2.4.3 | 1/2 | 1 | 2 | 4 | 1 | 2 | 20099/100000 | 1609/5000 | 9786886209
2.4.40000 | 1/2 | 1 | 2 | 5/2 | 2 | 5/2 | 20099/100000 | 1609/5000 | 9946683135
2.4.400010 | 1/2 | 3/4 | 2 | 5/2 | 5/2 | 3 | 20099/100000 | 1609/5000 | 9917069926
2.4.400011 | 3/4 | 1 | 2 | 5/2 | 5/2 | 3 | 23599/100000 | 1609/5000 | 9683014065
2.4.40010 | 1/2 | 1 | 5/2 | 3 | 2 | 5/2 | 20099/100000 | 1609/5000 | 9923406177
2.4.400110 | 1/2 | 3/4 | 5/2 | 3 | 5/2 | 3 | 20099/100000 | 1609/5000 | 9941519328
2.4.400111 | 3/4 | 1 | 5/2 | 3 | 5/2 | 3 | 23599/100000 | 16799/50000 | 9627739516
