FAMILY Q.hmin=37/200.
Grid0=131/900,1/2,1,2,4,8,16;grid1=37/208,1/2,1,2,4,8;grid2=1609/5400,1/2,1,2,4,8.
Splits: parent tag | coordinate | midpoint
1.3.4 | 2 | 3
1.4.4 | 1 | 3
1.4.40 | 2 | 3
2.3.4 | 2 | 3
2.3.40 | 1 | 3/2
2.3.400 | 2 | 5/2
2.3.401 | 2 | 5/2
2.4.4 | 1 | 3
2.4.40 | 2 | 3
2.4.400 | 1 | 5/2
2.4.4000 | 2 | 5/2
2.4.40001 | 0 | 3/4
2.4.4001 | 2 | 5/2
2.4.40011 | 0 | 3/4
2.4.401 | 1 | 5/2
2.4.4010 | 2 | 7/2
2.4.4011 | 2 | 7/2
2.4.40110 | 0 | 3/4
2.4.41 | 2 | 3
2.4.411 | 1 | 7/2
2.4.4110 | 2 | 7/2
2.4.41100 | 0 | 3/4
Rectangles: tag | l0 | u0 | l1 | u1 | l2 | u2 | h1 | h2 | total upper numerator
6906911391744/45432148484375 | 9/10 | 2:E1 | 154087648
9/10 | 26/25 | 2:E1 | 232153512
26/25 | 27/25 | 2:E1 | 105662715
27/25 | 1669/1500 | 2:E1 | 107391694
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.1.2. l | r | polynomial | upper numerator
0 | 10901/50000 | B1 | 234140
10901/50000 | 30725256511488/90864296996875 | 1:Qbal | 2395711
30725256511488/90864296996875 | 15362628255744/45432148484375 | B1 | 1
15362628255744/45432148484375 | 9/10 | 1:E1 | 338595183
9/10 | 24/25 | 1:E1 | 150746409
24/25 | 26/25 | 2:E1 | 233842818
26/25 | 27/25 | 2:E1 | 116921409
27/25 | 1669/1500 | 2:E1 | 103806801
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.1.3. l | r | polynomial | upper numerator
0 | 10901/50000 | B1 | 234140
10901/50000 | 30725256511488/90864296996875 | 1:Qbal | 2395711
30725256511488/90864296996875 | 15362628255744/45432148484375 | B1 | 1
15362628255744/45432148484375 | 9/10 | 1:E1 | 338595183
9/10 | 26/25 | 1:E1 | 438004103
26/25 | 27/25 | 2:E1 | 143628848
27/25 | 1669/1500 | 2:E1 | 95485818
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.1.4. l | r | polynomial | upper numerator
0 | 10901/50000 | B1 | 234140
10901/50000 | 30725256511488/90864296996875 | 1:Qbal | 2395711
30725256511488/90864296996875 | 15362628255744/45432148484375 | B1 | 1
15362628255744/45432148484375 | 9/10 | 1:E1 | 338595183
9/10 | 26/25 | 1:E1 | 438004103
26/25 | 53/50 | 1:E1 | 93814800
53/50 | 27/25 | 2:E1 | 79687790
27/25 | 1669/1500 | 2:E1 | 80988518
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.1.5. l | r | polynomial | upper numerator
0 | 10901/50000 | B1 | 234140
10901/50000 | 30725256511488/90864296996875 | 1:Qbal | 2395711
30725256511488/90864296996875 | 15362628255744/45432148484375 | B1 | 1
15362628255744/45432148484375 | 9/10 | 1:E1 | 338595183
9/10 | 26/25 | 1:E1 | 438004103
26/25 | 107/100 | 1:E1 | 146405893
107/100 | 27/25 | 2:E1 | 41979594
27/25 | 29/25 | 2:E1 | 79883033
Rectangle 4.2.1. l | r | polynomial | upper numerator
0 | 4901/50000 | B1 | 870
4901/50000 | 13813822783488/90864296996875 | 2:Qbal | 8896
13813822783488/90864296996875 | 6906911391744/45432148484375 | B1 | 1
6906911391744/45432148484375 | 9/10 | 2:E1 | 154087648
9/10 | 26/25 | 2:E1 | 232153512
26/25 | 27/25 | 2:E1 | 105662715
27/25 | 1669/1500 | 2:E1 | 107391694
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.2.2. l | r | polynomial | upper numerator
0 | 58901/100000 | B1 | 245956712
58901/100000 | 166016726335488/231792911396875 | 2:Qbal | 430794527
166016726335488/231792911396875 | 83008363167744/115896455684375 | 1:Qbal | 1
83008363167744/115896455684375 | 9/10 | 2:E1 | 537170100
9/10 | 26/25 | 2:E1 | 409224932
26/25 | 27/25 | 2:E1 | 116921409
27/25 | 1669/1500 | 2:E1 | 103806801
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.2.3. l | r | polynomial | upper numerator
0 | 62901/100000 | B1 | 389585559
62901/100000 | 177291015487488/231792911396875 | 1:Qbal | 682361239
177291015487488/231792911396875 | 88645507743744/115896455684375 | B1 | 2
88645507743744/115896455684375 | 9/10 | 1:E1 | 585869730
9/10 | 26/25 | 1:E1 | 606975799
26/25 | 27/25 | 2:E1 | 143628848
27/25 | 1669/1500 | 2:E1 | 95485818
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.2.4. l | r | polynomial | upper numerator
0 | 62901/100000 | B1 | 389585559
62901/100000 | 177291015487488/231792911396875 | 1:Qbal | 682361239
177291015487488/231792911396875 | 88645507743744/115896455684375 | B1 | 2
88645507743744/115896455684375 | 9/10 | 1:E1 | 585869730
9/10 | 26/25 | 1:E1 | 606975799
26/25 | 53/50 | 1:E1 | 90957753
53/50 | 27/25 | 2:E1 | 79687790
27/25 | 1669/1500 | 2:E1 | 80988518
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.2.5. l | r | polynomial | upper numerator
0 | 62901/100000 | B1 | 389585559
62901/100000 | 177291015487488/231792911396875 | 1:Qbal | 682361239
177291015487488/231792911396875 | 88645507743744/115896455684375 | B1 | 2
88645507743744/115896455684375 | 9/10 | 1:E1 | 585869730
9/10 | 26/25 | 1:E1 | 606975799
26/25 | 107/100 | 1:E1 | 139750088
107/100 | 27/25 | 2:E1 | 41979594
27/25 | 29/25 | 2:E1 | 79883033
Rectangle 4.3.1. l | r | polynomial | upper numerator
0 | 4901/50000 | B1 | 870
4901/50000 | 13813822783488/90864296996875 | 2:Qbal | 8896
13813822783488/90864296996875 | 6906911391744/45432148484375 | B1 | 1
6906911391744/45432148484375 | 9/10 | 2:E1 | 154087648
9/10 | 26/25 | 2:E1 | 232153512
26/25 | 27/25 | 2:E1 | 105662715
27/25 | 1669/1500 | 2:E1 | 107391694
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.3.2. l | r | polynomial | upper numerator
0 | 58901/100000 | B1 | 245956712
58901/100000 | 166016726335488/231792911396875 | 2:Qbal | 430794527
166016726335488/231792911396875 | 83008363167744/115896455684375 | B1 | 1
83008363167744/115896455684375 | 9/10 | 2:E1 | 537170100
9/10 | 26/25 | 2:E1 | 409224932
26/25 | 27/25 | 2:E1 | 116921409
27/25 | 1669/1500 | 2:E1 | 103806801
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.3.3. l | r | polynomial | upper numerator
0 | 166901/200000 | B1 | 2818399817
166901/200000 | 9/10 | 1:Qbal | 1445022565
9/10 | 470422533439488/513650140196875 | 1:Qbal | 230547521
470422533439488/513650140196875 | 235211266719744/256825070084375 | 0:N5hi | 2
235211266719744/256825070084375 | 26/25 | 1:E1 | 985221482
26/25 | 27/25 | 2:E1 | 143628848
27/25 | 1669/1500 | 2:E1 | 95485818
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.3.4. l | r | polynomial | upper numerator
0 | 166901/200000 | B1 | 2818399817
166901/200000 | 9/10 | 1:Qbal | 1445022565
9/10 | 470422533439488/513650140196875 | 1:Qbal | 230547521
470422533439488/513650140196875 | 235211266719744/256825070084375 | 0:N5hi | 2
235211266719744/256825070084375 | 26/25 | 1:E1 | 985221482
26/25 | 107/100 | 1:E1 | 130066243
107/100 | 27/25 | 2:E1 | 34095767
27/25 | 1669/1500 | 2:E1 | 80988518
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.3.5. l | r | polynomial | upper numerator
0 | 166901/200000 | B1 | 2818399817
166901/200000 | 9/10 | 1:Qbal | 1445022565
9/10 | 470422533439488/513650140196875 | 1:Qbal | 230547521
470422533439488/513650140196875 | 235211266719744/256825070084375 | 0:N5hi | 2
235211266719744/256825070084375 | 26/25 | 1:E1 | 985221482
26/25 | 107/100 | 1:E1 | 130066243
107/100 | 27/25 | 2:E1 | 41979594
27/25 | 29/25 | 2:E1 | 79883033
Rectangle 4.4.1. l | r | polynomial | upper numerator
0 | 4901/50000 | B1 | 870
4901/50000 | 13813822783488/90864296996875 | 2:Qbal | 8896
13813822783488/90864296996875 | 6906911391744/45432148484375 | B1 | 1
6906911391744/45432148484375 | 9/10 | 2:E1 | 154087648
9/10 | 26/25 | 2:E1 | 232153512
26/25 | 27/25 | 2:E1 | 105662715
27/25 | 1669/1500 | 1:E1 | 80988518
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.4.2. l | r | polynomial | upper numerator
0 | 58901/100000 | B1 | 245956712
58901/100000 | 166016726335488/231792911396875 | 2:Qbal | 430794527
166016726335488/231792911396875 | 83008363167744/115896455684375 | B1 | 1
83008363167744/115896455684375 | 9/10 | 2:E1 | 537170100
9/10 | 26/25 | 2:E1 | 409224932
26/25 | 27/25 | 2:E1 | 116921409
27/25 | 1669/1500 | 1:E1 | 80988518
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.4.3. l | r | polynomial | upper numerator
0 | 166901/200000 | B1 | 2818399817
166901/200000 | 9/10 | 2:Qbal | 1445022565
9/10 | 470422533439488/513650140196875 | 2:Qbal | 230547521
470422533439488/513650140196875 | 235211266719744/256825070084375 | 0:N5hi | 2
235211266719744/256825070084375 | 26/25 | 2:E1 | 985221482
26/25 | 27/25 | 1:E1 | 143628848
27/25 | 1669/1500 | 1:E1 | 80988518
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.4.4. l | r | polynomial | upper numerator
0 | 3469/4000 | B1 | 3689862303
3469/4000 | 24283/27000 | 0:N5lo | 990440714
24283/27000 | 9/10 | 0:N5hi | 13965504
9/10 | 47/50 | 0:N5hi | 981489947
47/50 | 1374637/1400000 | 0:C | 935691422
1374637/1400000 | 26/25 | 1:E1 | 589997200
26/25 | 27/25 | 1:E1 | 143628848
27/25 | 1669/1500 | 1:E1 | 80988518
1669/1500 | 29/25 | 0:E1 | 76430889
Rectangle 4.4.5. l | r | polynomial | upper numerator
0 | 3469/4000 | B1 | 3689862303
3469/4000 | 24283/27000 | 0:N5lo | 990440714
24283/27000 | 9/10 | 0:N5hi | 13965504
9/10 | 47/50 | 0:N5hi | 981489947
47/50 | 1374637/1400000 | 0:C | 935691422
1374637/1400000 | 26/25 | 1:E1 | 589997200
26/25 | 27/25 | 1:E1 | 143628848
27/25 | 29/25 | 2:E1 | 79883033
Rectangle 4.5.1. l | r | polynomial | upper numerator
0 | 1549/25000 | 2:E1 | 1
1549/25000 | 9/10 | 2:E1 | 45360023
9/10 | 26/25 | 2:E1 | 88396924
26/25 | 27/25 | 2:E1 | 43324852
27/25 | 29/25 | 1:E1 | 29169748
Rectangle 4.5.2. l | r | polynomial | upper numerator
0 | 25451/50000 | B1 | 88540899
25451/50000 | 143470966603776/231792911396875 | 2:Qbal | 155079870
143470966603776/231792911396875 | 71735483301888/115896455684375 | B1 | 1
71735483301888/115896455684375 | 9/10 | 2:E1 | 342194020
9/10 | 26/25 | 2:E1 | 170464974
26/25 | 27/25 | 2:E1 | 48704279
27/25 | 29/25 | 1:E1 | 29169748
Rectangle 4.5.3. l | r | polynomial | upper numerator
0 | 79451/100000 | B1 | 1998460526
79451/100000 | 447876773707776/513650140196875 | 2:Qbal | 1188107044
447876773707776/513650140196875 | 223938386853888/256825070084375 | 0:N5lo | 2
223938386853888/256825070084375 | 9/10 | 2:E1 | 237579487
9/10 | 26/25 | 2:E1 | 586908857
26/25 | 27/25 | 2:E1 | 61813854
27/25 | 29/25 | 1:E1 | 29169748
Rectangle 4.5.4. l | r | polynomial | upper numerator
0 | 3469/4000 | B1 | 3689862303
3469/4000 | 24283/27000 | 0:N5lo | 990440714
24283/27000 | 9/10 | 0:N5hi | 13965504
9/10 | 47/50 | 0:N5hi | 981489947
47/50 | 2061961/2100000 | 0:C | 935740074
2061961/2100000 | 26/25 | 2:E1 | 589996189
26/25 | 27/25 | 1:E1 | 100352279
27/25 | 29/25 | 1:E1 | 29169748
Rectangle 4.5.5. l | r | polynomial | upper numerator
0 | 3469/4000 | B1 | 3689862303
3469/4000 | 24283/27000 | 0:N5lo | 990440714
24283/27000 | 9/10 | 0:N5hi | 13965504
9/10 | 47/50 | 0:N5hi | 981489947
47/50 | 790901/775000 | 0:C | 1543039060
790901/775000 | 26/25 | 1:E1 | 164168239
26/25 | 27/25 | 1:E1 | 100352279
27/25 | 29/25 | 1:E1 | 29169748
Rectangle 5.1.1. l | r | polynomial | upper numerator
0 | 17099/50000 | 1:E1 | 1
17099/50000 | 31099/50000 | 2:E1 | 1
31099/50000 | 9/10 | 2:E1 | 20061
9/10 | 26/25 | 2:E1 | 328437
26/25 | 27/25 | 2:E1 | 312214
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.1.2. l | r | polynomial | upper numerator
0 | 17099/50000 | 1:E1 | 1
17099/50000 | 4/5 | 1:E1 | 660711
4/5 | 9/10 | 2:E1 | 1009776
9/10 | 26/25 | 2:E1 | 1413686
26/25 | 27/25 | 2:E1 | 403911
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.1.3. l | r | polynomial | upper numerator
0 | 17099/50000 | 1:E1 | 1
17099/50000 | 9/10 | 1:E1 | 2632500
9/10 | 99/100 | 1:E1 | 4865388
99/100 | 26/25 | 2:E1 | 2342770
26/25 | 27/25 | 2:E1 | 689126
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.1.4. l | r | polynomial | upper numerator
0 | 17099/50000 | 1:E1 | 1
17099/50000 | 9/10 | 1:E1 | 2632500
9/10 | 26/25 | 1:E1 | 9982728
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.1.5. l | r | polynomial | upper numerator
0 | 17099/50000 | 1:E1 | 1
17099/50000 | 9/10 | 1:E1 | 2632500
9/10 | 26/25 | 1:E1 | 9982728
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.2.1. l | r | polynomial | upper numerator
0 | 31099/50000 | 2:E1 | 1
31099/50000 | 9/10 | 2:E1 | 20061
9/10 | 26/25 | 2:E1 | 328437
26/25 | 27/25 | 2:E1 | 312214
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.2.2. l | r | polynomial | upper numerator
0 | 22901/100000 | B1 | 330356
22901/100000 | 64548123967488/231792911396875 | 2:Qbal | 578619
64548123967488/231792911396875 | 32274061983744/115896455684375 | B1 | 1
32274061983744/115896455684375 | 9/10 | 2:E1 | 6276024
9/10 | 26/25 | 2:E1 | 1413686
26/25 | 27/25 | 2:E1 | 403911
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.2.3. l | r | polynomial | upper numerator
0 | 34901/100000 | B1 | 6307614
34901/100000 | 98370991423488/231792911396875 | 1:Qbal | 11047821
98370991423488/231792911396875 | 49185495711744/115896455684375 | B1 | 1
49185495711744/115896455684375 | 9/10 | 1:E1 | 60169261
9/10 | 24/25 | 1:E1 | 7590608
24/25 | 26/25 | 2:E1 | 5288134
26/25 | 27/25 | 2:E1 | 689126
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.2.4. l | r | polynomial | upper numerator
0 | 34901/100000 | B1 | 6307614
34901/100000 | 98370991423488/231792911396875 | 1:Qbal | 11047821
98370991423488/231792911396875 | 49185495711744/115896455684375 | B1 | 1
49185495711744/115896455684375 | 9/10 | 1:E1 | 60169261
9/10 | 26/25 | 1:E1 | 17711417
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.2.5. l | r | polynomial | upper numerator
0 | 34901/100000 | B1 | 6307614
34901/100000 | 98370991423488/231792911396875 | 1:Qbal | 11047821
98370991423488/231792911396875 | 49185495711744/115896455684375 | B1 | 1
49185495711744/115896455684375 | 9/10 | 1:E1 | 60169261
9/10 | 26/25 | 1:E1 | 17711417
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.3.1. l | r | polynomial | upper numerator
0 | 31099/50000 | 2:E1 | 1
31099/50000 | 9/10 | 2:E1 | 20061
9/10 | 26/25 | 2:E1 | 328437
26/25 | 27/25 | 2:E1 | 312214
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.3.2. l | r | polynomial | upper numerator
0 | 22901/100000 | B1 | 330356
22901/100000 | 64548123967488/231792911396875 | 2:Qbal | 578619
64548123967488/231792911396875 | 32274061983744/115896455684375 | B1 | 1
32274061983744/115896455684375 | 9/10 | 2:E1 | 6276024
9/10 | 26/25 | 2:E1 | 1413686
26/25 | 27/25 | 2:E1 | 403911
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.3.3. l | r | polynomial | upper numerator
0 | 130901/200000 | B1 | 514506399
130901/200000 | 368953931071488/513650140196875 | 2:Qbal | 305879786
368953931071488/513650140196875 | 184476965535744/256825070084375 | 1:Qbal | 1
184476965535744/256825070084375 | 9/10 | 2:E1 | 231826070
9/10 | 26/25 | 2:E1 | 18129140
26/25 | 27/25 | 2:E1 | 689126
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.3.4. l | r | polynomial | upper numerator
0 | 138901/200000 | B1 | 779341203
138901/200000 | 391502509375488/513650140196875 | 1:Qbal | 463327026
391502509375488/513650140196875 | 195751254687744/256825070084375 | B1 | 1
195751254687744/256825070084375 | 9/10 | 1:E1 | 313291418
9/10 | 26/25 | 1:E1 | 60561287
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.3.5. l | r | polynomial | upper numerator
0 | 138901/200000 | B1 | 779341203
138901/200000 | 391502509375488/513650140196875 | 1:Qbal | 463327026
391502509375488/513650140196875 | 195751254687744/256825070084375 | B1 | 1
195751254687744/256825070084375 | 9/10 | 1:E1 | 313291418
9/10 | 26/25 | 1:E1 | 60561287
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.4.1. l | r | polynomial | upper numerator
0 | 31099/50000 | 2:E1 | 1
31099/50000 | 9/10 | 2:E1 | 20061
9/10 | 26/25 | 2:E1 | 328437
26/25 | 27/25 | 2:E1 | 312214
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.4.2. l | r | polynomial | upper numerator
0 | 22901/100000 | B1 | 330356
22901/100000 | 64548123967488/231792911396875 | 2:Qbal | 578619
64548123967488/231792911396875 | 32274061983744/115896455684375 | B1 | 1
32274061983744/115896455684375 | 9/10 | 2:E1 | 6276024
9/10 | 26/25 | 2:E1 | 1413686
26/25 | 27/25 | 2:E1 | 403911
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.4.3. l | r | polynomial | upper numerator
0 | 130901/200000 | B1 | 514506399
130901/200000 | 368953931071488/513650140196875 | 2:Qbal | 305879786
368953931071488/513650140196875 | 184476965535744/256825070084375 | B1 | 1
184476965535744/256825070084375 | 9/10 | 2:E1 | 231826070
9/10 | 26/25 | 2:E1 | 18129140
26/25 | 27/25 | 2:E1 | 689126
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.4.4. l | r | polynomial | upper numerator
0 | 346901/400000 | B1 | 3689936761
346901/400000 | 9/10 | 1:Qbal | 821111954
9/10 | 977765545279488/1077364597796875 | 1:Qbal | 107136761
977765545279488/1077364597796875 | 488882772639744/538682298884375 | 0:N5hi | 1
488882772639744/538682298884375 | 3469/3500 | 1:E1 | 405538376
3469/3500 | 26/25 | 0:E1 | 22367242
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.4.5. l | r | polynomial | upper numerator
0 | 346901/400000 | B1 | 3689936761
346901/400000 | 9/10 | 1:Qbal | 821111954
9/10 | 977765545279488/1077364597796875 | 1:Qbal | 107136761
977765545279488/1077364597796875 | 488882772639744/538682298884375 | 0:N5hi | 1
488882772639744/538682298884375 | 3469/3500 | 1:E1 | 405538376
3469/3500 | 26/25 | 0:E1 | 22367242
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.5.1. l | r | polynomial | upper numerator
0 | 31099/50000 | 2:E1 | 1
31099/50000 | 9/10 | 2:E1 | 20061
9/10 | 26/25 | 2:E1 | 328437
26/25 | 27/25 | 2:E1 | 312214
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.5.2. l | r | polynomial | upper numerator
0 | 22901/100000 | B1 | 330356
22901/100000 | 64548123967488/231792911396875 | 2:Qbal | 578619
64548123967488/231792911396875 | 32274061983744/115896455684375 | B1 | 1
32274061983744/115896455684375 | 9/10 | 2:E1 | 6276024
9/10 | 26/25 | 2:E1 | 1413686
26/25 | 27/25 | 2:E1 | 403911
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.5.3. l | r | polynomial | upper numerator
0 | 130901/200000 | B1 | 514506399
130901/200000 | 368953931071488/513650140196875 | 2:Qbal | 305879786
368953931071488/513650140196875 | 184476965535744/256825070084375 | B1 | 1
184476965535744/256825070084375 | 9/10 | 2:E1 | 231826070
9/10 | 26/25 | 2:E1 | 18129140
26/25 | 27/25 | 2:E1 | 689126
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.5.4. l | r | polynomial | upper numerator
0 | 346901/400000 | B1 | 3689936761
346901/400000 | 9/10 | 2:Qbal | 821111954
9/10 | 977765545279488/1077364597796875 | 2:Qbal | 107136761
977765545279488/1077364597796875 | 488882772639744/538682298884375 | 0:N5hi | 1
488882772639744/538682298884375 | 3469/3500 | 2:E1 | 405538376
3469/3500 | 26/25 | 0:E1 | 22367242
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 5.5.5. l | r | polynomial | upper numerator
0 | 7069/8000 | B1 | 4206064833
7069/8000 | 49483/55000 | 0:N5lo | 525570473
49483/55000 | 9/10 | 0:N5hi | 6863124
9/10 | 23/25 | 0:N5hi | 458239893
23/25 | 3469/3500 | 0:C | 695275200
3469/3500 | 26/25 | 0:E1 | 22367242
26/25 | 27/25 | 0:E1 | 1992032
27/25 | 3469/3000 | 0:E1 | 110085
3469/3000 | 29/25 | 0:E1 | 1
Rectangle 6.1.1. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.1.2. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.1.3. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.1.4. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.1.5. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.2.1. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.2.2. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.2.3. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.2.4. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.2.5. l | r | polynomial | upper numerator
0 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.3.1. l | r | polynomial | upper numerator
0 | 82901/100000 | 2:E1 | 1
82901/100000 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.3.2. l | r | polynomial | upper numerator
0 | 82901/100000 | 2:E1 | 1
82901/100000 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.3.3. l | r | polynomial | upper numerator
0 | 58901/200000 | B1 | 1921537
58901/200000 | 166016726335488/513650140196875 | 2:Qbal | 1142376
166016726335488/513650140196875 | 83008363167744/256825070084375 | B1 | 1
83008363167744/256825070084375 | 58901/100000 | 2:E1 | 937320
58901/100000 | 82901/100000 | 2:E1 | 1
82901/100000 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
26/25 | 27/25 | 0:E1 | 1
27/25 | 29/25 | 0:E1 | 1
Rectangle 6.3.4. l | r | polynomial | upper numerator
0 | 82901/200000 | B1 | 21023665
82901/200000 | 233662461247488/513650140196875 | 1:Qbal | 12498803
233662461247488/513650140196875 | 8987017740288/19755774621875 | B1 | 1
8987017740288/19755774621875 | 82901/100000 | 1:E1 | 10255281
82901/100000 | 9/10 | 1:E1 | 1
9/10 | 7069/7000 | 1:E1 | 1
7069/7000 | 26/25 | 0:E1 | 1
